Date,SentimentSum,Open,High,Low,Close,Volume,OpenInt
2015-04-27,357,125.74,126.53,124.63,126.06,102018381,0
2015-04-28,640,127.78,127.86,123.14,124.06,125135690,0
2015-04-29,646,123.72,125.06,121.94,122.24,66696822,0
2015-04-30,667,121.17,121.54,118.38,118.94,87540921,0
2015-05-01,636,119.84,123.69,119.08,122.54,61568872,0
2015-05-04,552,123.07,124.07,121.9,122.3,53651452,0
2015-05-05,680,121.79,122.07,119.55,119.57,51844979,0
2015-05-06,599,120.28,120.45,117.25,118.8,75857987,0
2015-05-07,534,119.07,120.33,118.35,119.55,45652779,0
2015-05-08,616,120.89,121.79,120.35,121.79,58208702,0
2015-05-11,540,121.58,121.74,119.89,120.54,44047350,0
2015-05-12,600,119.86,121.08,119.12,120.12,50464764,0
2015-05-13,647,120.39,121.39,120.13,120.26,36354556,0
2015-05-14,601,121.6,123.07,121.36,123.07,47366643,0
2015-05-15,550,123.18,123.6,122.35,122.89,40021590,0
2015-05-18,573,122.51,124.75,122.49,124.23,53256393,0
2015-05-19,637,124.72,124.9,123.74,124.11,46769197,0
2015-05-20,547,124.04,125.0,123.45,124.1,38199509,0
2015-05-21,475,124.11,125.61,123.89,125.41,41631624,0
2015-05-22,544,125.6,126.9,125.42,126.49,47777927,0
2015-05-26,478,126.54,126.84,123.23,123.72,74044081,0
2015-05-27,582,124.37,126.22,124.09,126.01,48026583,0
2015-05-28,731,125.83,125.92,125.12,125.75,32191239,0
2015-05-29,493,125.25,125.47,123.95,124.31,53319512,0
2015-06-01,677,125.22,125.41,124.09,124.57,33649578,0
2015-06-02,693,123.92,124.68,123.43,124.0,35247319,0
2015-06-03,707,124.69,124.96,123.95,124.16,32466240,0
2015-06-04,623,123.68,124.61,123.03,123.47,40290158,0
2015-06-05,567,123.63,123.79,122.49,122.77,37331747,0
2015-06-08,2524,123.02,123.32,121.03,121.97,55195489,0
2015-06-09,1111,120.91,122.22,119.88,121.61,58732198,0
2015-06-10,792,122.09,123.45,122.0,123.0,40948345,0
2015-06-11,653,123.29,124.22,122.6,122.71,37084550,0
2015-06-12,1016,122.32,122.46,121.31,121.37,38579953,0
2015-06-15,480,120.34,121.43,119.97,121.12,46094023,0
2015-06-16,599,121.22,122.0,120.59,121.78,33001274,0
2015-06-17,541,121.89,122.03,120.95,121.49,34493316,0
2015-06-18,621,121.43,122.44,121.42,122.03,37101639,0
2015-06-19,665,121.92,121.98,120.62,120.81,57335314,0
2015-06-22,1017,121.68,122.2,121.28,121.78,35668278,0
2015-06-23,673,121.67,121.78,121.08,121.23,31717403,0
2015-06-24,748,121.41,123.87,121.32,122.25,57926303,0
2015-06-25,665,122.98,123.31,121.69,121.69,33466523,0
2015-06-26,674,121.84,122.14,120.73,120.96,46175652,0
2015-06-29,570,119.73,120.69,118.79,118.84,51514057,0
2015-06-30,2002,119.83,120.36,119.16,119.7,46494077,0
2015-07-01,1665,121.1,121.14,120.24,120.81,31685901,0
2015-07-02,1204,120.65,120.9,120.03,120.66,28513099,0
2015-07-06,727,119.23,120.46,119.15,120.25,29403250,0
2015-07-07,803,120.15,120.39,118.11,119.95,49193474,0
2015-07-08,859,118.79,118.95,116.94,116.97,63669393,0
2015-07-09,524,118.19,118.38,113.77,114.59,82356224,0
